target_bits,dataset,num_samples,contextual_relevance,answer_completeness,semantic_fidelity,response_coherence,compression_ratio,bandwidth_saved_mb,avg_inference_time,communication_efficiency,information_throughput
4.0,squad,50,0.7066446000337601,0.29,0.2122865590825677,0.9251404480488974,6.925919896009566,1997.219136,9.65302155971527,0.29,0.03334513093734488
4.0,hotpot_qa,50,0.3524623104929924,0.10816666666666666,0.13268221845850348,0.7765685899127172,6.9307246128428,5233.356096,20.360603857040406,0.10816666666666666,0.006315188103210254
4.0,narrativeqa,50,0.6557710185647011,0.3724603174603174,0.3249697151780129,0.9371545206266461,6.928208849946348,2624.58912,11.709059171676635,0.3724603174603174,0.032067934291609694
6.0,squad,50,0.7066446000337601,0.29,0.2122865590825677,0.9251404480488974,5.683877017588425,1927.99776,9.835386185646056,0.29,0.03256437616233356
6.0,hotpot_qa,50,0.3524623104929924,0.10816666666666666,0.13268221845850348,0.7765685899127172,5.687125476993851,5051.99136,22.129437284469603,0.10816666666666666,0.0058499586779784995
6.0,narrativeqa,50,0.6557710185647011,0.3724603174603174,0.3249697151780129,0.9371545206266461,5.685424707111281,2533.6272,13.181810092926025,0.3724603174603174,0.028394109804734287
8.0,squad,50,0.7066446000337601,0.29,0.2122865590825677,0.9251404480488974,5.062495753478227,1858.776384,7.467977409362793,0.29,0.04414671189432884
8.0,hotpot_qa,50,0.3524623104929924,0.10816666666666666,0.13268221845850348,0.7765685899127172,5.065199160971537,4870.626624,13.017378487586974,0.10816666666666666,0.009721648825871758
8.0,narrativeqa,50,0.6557710185647011,0.3724603174603174,0.3249697151780129,0.9371545206266461,5.06378377018493,2442.66528,7.912156872749328,0.3724603174603174,0.047712142445635236
